Cultivate,AFC-UC-ENG-155-NM,0,1.0000,1.0000,1.0000
Cultivate FOIL,M21-UC-FOIL-ENG-177-NM,0,3.4000,3.4000,3.4000
Cultivate,M11-168EN-NM,0,1.7000,1.7000,1.7000
Cultivate,C16-C-EN-146-NM,0,1.0000,1.0000,1.0000
Cultivate,PCA-C-ENG-062-NM,2,2.0500,2.0500,2.0500
Cultivate,C17-C-EN-147-NM,5,1.8000,1.8000,1.8000
Cultivate ,E01-C-ENG-062-NM,0,1.9500,1.9500,1.9500
Cultivate,A25-C-EN-165-NM,7,1.4000,1.4000,1.4000
Cultivate,CM2-C-EN-135-NM,1,1.7500,1.7500,1.7500
Cultivate,C18-C-EN-138-NM,0,1.0000,1.0000,1.0000
Cultivate,C19-C-ENG-159-NM,12,1.8000,1.8000,1.8000
Cultivate,MB1-C-ENG-1176-NM,0,1.0000,1.0000,1.0000
Cultivate,C20-C-ENG-170-NM,0,1.7500,1.7500,1.7500
Cultivate,M21-UC-ENG-177-NM,12,1.8000,1.8000,1.8000
Cultivate,CMR-C-ENG-424-NM,0,1.0500,1.0500,1.0500
Cultivate,STA-UC-ENG-051-NM,22,1.8000,1.8000,1.8000
Cultivate,STA-UC-JPN-051-NM,0,0.6500,0.6500,0.6500
Cultivate,C21-UC-EN-187-NM,0,0.5000,0.5000,0.5000
Cultivate,NCC-C-ENG-285-NM,1,1.8000,1.8000,1.8000
Cultivate,CLB-UC-ENG-821-NM,12,1.8000,1.8000,1.8000
Cultivate,DMC-C-ENG-130-NM,7,1.4000,1.4000,1.4000
Cultivate,40K-C-ENG-211-NM,12,2.0000,2.0000,2.0000
Cultivate,ONC-C-ENG-107-NM,12,1.7000,1.7000,1.7000
Cultivate,MOC-C-ENG-295-NM,1,1.0000,1.0000,1.0000
Cultivate,LTC-C-ENG-0236-NM,11,1.8000,1.8000,1.8000
Cultivate,CMM-C-ENG-0889-NM,12,2.0000,2.0000,2.0000
Cultivate,WHO-C-ENG-0230-NM,8,1.8000,1.8000,1.8000
Cultivate,LCC-C-ENG-0235-NM,12,1.4000,1.4000,1.4000
Cultivate,PIP-UC-ENG-0196-NM,11,2.0000,2.0000,2.0000
Cultivate,BLC-C-ENG-0212-NM,12,1.8000,1.8000,1.8000
Cultivate,DSC-C-ENG-0174-NM,11,1.8000,1.8000,1.8000
Cultivate (Commander 2011),MISC-C-ENG-CMD-148-NM,0,0.6000,0.6000,0.6000
Cultivate (Commander 2013),MISC-C-ENG-C13-139-NM,0,1.6900,1.6900,1.6900
Cultivate (Foil-Etched),STA-UC-ETCHED-ENG-051-NM,13,2.7000,2.7000,2.7000
Cultivate FOIL,A25-C-FOIL-EN-165-NM,2,3.9000,3.9000,3.9000
Cultivate FOIL,M11-C-FOIL-ENG-168-NM,1,6.5000,6.5000,6.5000
Cultivate FOIL,STA-UC-FOIL-ENG-051-NM,22,2.7000,2.7000,2.7000
Cultivate FOIL,WHO-C-FOIL-ENG-0230-NM,0,2.0000,2.0000,2.0000
Cultivate FOIL,PIP-UC-FOIL-ENG-0196-NM,1,4.0500,4.0500,4.0500
Cultivate FOIL (Friday Night Magic 2011),PR-F11-ENG-008-NM,0,10.8000,10.8000,10.8000
Cultivate FOIL (Secret Lair Drop),PR-SLD-ENG-246-NM,8,14.3000,14.3000,14.3000
Cultivate FOIL (Wizards Play Network 2023),PR-PW23-R-FOIL-ENG-006-NM,51,3.3700,3.3700,3.3700
Cultivate FOIL [Alternate Art] [Borderless],M21-R-FOIL-ENG-317-NM,20,6.1000,6.1000,6.1000
Cultivate SURGE FOIL,40K-C-FOIL-ENG-211-NM,1,3.4000,3.4000,3.4000
Cultivate [Alternate Art],STA-UC-JPN-114-NM,24,2.4000,2.4000,2.4000
Cultivate [Alternate Art] [Borderless],M21-R-ENG-317-NM,24,6.8000,6.8000,6.8000
